变量名,编码,澳门样本频数（f）,台湾样本频数（f）,香港样本频数（f）
ATBG05BG,2,2768,1207,2048
ATBR18E,3,238,827,666
ASBH09,1,792,232,457
ATBG07BC,3,139,7,25
ATBR13D,3,154,94,472
ATBR06A,4,29,0,0
ATBR10L,4,2259,566,1641
ATBR12DC,1,241,44,142
ACBG21A,2,3083,404,424
ATBR10F,1,1382,257,914
ATBR11D,3,2841,471,2241
ACBG05A,3,154,0,237
ATBG05AA,1,3147,1226,2736
ASDHPCS,2,931,629,954
ACBG14F,2,1742,779,1042
ATBR06C,2,1423,403,925
ATDGSLI,2,2266,1126,1340
ASBR05,4,343,153,293
ASDHELA,2,3556,1151,2612
ATBR08H,2,1209,341,1017
ASBH21A,2,1918,1410,1152
ATBG08C,1,3383,716,1773
ATBR11C,4,60,40,71
ATBG07BD,1,2171,590,1439
ACBG19,4,514,0,472
ATBR08G,4,137,19,56
ATBG05BH,2,3033,1168,1096
ATBG07AG,1,3101,713,1592
ATBR10K,3,1197,507,1125
ATBR12C,2,445,271,518
ACBG14B,1,3687,0,2987
ATBR12BC,1,1946,665,1369
ACBG14L,5,513,115,475
ASBH06,1,531,23,304
ASBH18EB,2,4105,1329,3198
ATBR10B,2,2115,873,1862
ASBH18CA,2,3555,1416,2510
ATBG05BE,3,916,373,262
ASDHAPS,4,3044,861,2684
ATBR08E,2,2205,761,1792
ACBG14C,1,3887,1241,3198
ATBR09B,1,605,208,170
ASBG07A,3,2167,770,1948
ATBR13A,2,73,113,182
ATBR06D,3,2341,935,2303
ATBR10A,1,2889,837,2118
ASBR03B,1,1917,604,1158
ATBG05BC,2,1351,630,997
ATBR14,4,1019,69,934
ATBR11A,1,598,135,405
ACBG04,1,3837,948,3094
ATBG03,2,978,128,532
ATBR09A,2,1663,358,458
ASBH18DA,2,4109,1437,3056
ASDG05S,3,2248,586,1564
ATBR16,3,985,193,281
ACBG14B,5,0,0,4
ASDGSB,2,1433,324,490
ASBH18EA,1,2,95,10
ATBR12EA,4,2348,995,1978
ATBR12DA,2,1009,399,1095
ATBR12BB,1,1234,620,567
ATBG05BG,1,865,87,692
ASBH02A,2,361,19,218
ATBR07AA,4,28,35,61
ATBR13D,2,280,238,732
ATBR11D,2,807,621,504
ATBG05AD,2,2972,1117,1824
ACBG14F,1,2072,390,1820
ATBR06C,1,924,160,224
ASBG05K,1,1163,0,1099
ATBR09E,4,18,92,0
ASBG05I,2,1497,608,2027
ASBR05,3,398,115,449
ASDHELN,1,645,306,717
ASDHELT,1,888,474,1539
ATDGSOS,3,55,59,1
ATBG05BI,3,1199,167,481
ASBH21A,1,2191,35,2057
ATBR12ED,2,235,22,216
ASBH07F,1,2190,683,2434
ACBG04,5,33,19,0
ACBG19,3,126,51,461
ATBG03,6,52,26,58
ATBR08G,3,921,422,904
ATBG05BH,1,611,230,1792
ACBG14I,4,840,228,892
ACBG14L,4,1896,608,1409
ATBG05BE,2,2738,930,1891
ASDHAPS,3,305,465,101
ASBH09,4,576,256,486
ASBG08A,3,873,203,656
ATBR08E,1,1749,482,1299
ACBG08,2,371,523,28
ASBR04,4,679,213,326
ACBG14K,3,754,419,996
ASBH19,1,3243,50,2914
ASDHENA,3,129,66,64
ATBR12DB,3,2832,1019,1880
ATBR13A,1,4036,1332,3027
ASBH03F,2,0,1428,0
ACBG05B,3,181,468,1345
ATBR06D,2,1378,114,552
ATBR15,3,1340,780,1686
ATBG07AA,2,276,277,552
ASBH14A,2,83,78,27
ACBG21E,2,179,283,22
ASDHEDUP,3,1136,341,977
ASDG05S,2,1629,702,1499
ATBG07AB,2,1970,453,1879
ATBR06B,4,1635,606,1121
ATBR17B,2,1808,609,1713
ASDGSB,1,2349,1041,2644
ATBR09G,3,1744,615,1575
ATBR10I,4,122,39,12
ATBR12DA,1,344,25,187
ASBH06,4,21,125,9
ATBR12EA,3,937,341,627
ASBH02A,1,3748,1426,2991
ATBR17A,3,304,303,296
ATBG06,3,843,163,1181
ATBR09B,4,435,178,366
ATBG08E,2,2660,892,2384
ATBR12EB,3,934,214,580
ATBR12EE,4,3319,1197,2155
ASDGSLR,3,807,356,676
ASBR03A,3,707,279,680
ASBR03C,1,773,227,362
ATBR10C,1,2678,557,1318
ASBH03C,1,512,57,821
ASBG05I,1,2612,837,1182
ATDGSOS,2,1015,983,1191
ATBG05BI,2,2380,980,2009
ATBR09F,2,1304,416,968
ASDHOCCP,7,133,34,96
ATBR08C,2,1239,712,1243
ATBR12ED,1,0,0,31
ACBG14G,3,1757,601,1225
ACBG19,2,46,246,260
ASBH21D,1,2205,8,2084
ATBR08F,4,0,22,49
ATBR10E,3,1191,700,854
ACBG14I,3,1405,622,1072
ASBH21B,2,2158,1426,1155
ATBR08B,2,761,543,1377
ASBH18AA,2,14,30,140
ASBG05G,2,1273,808,1297
ATBG05BE,1,455,142,1056
ASBG10F,3,107,25,105
ACBG18B,2,1833,259,1455
ASBG08A,2,2618,786,2213
ITSEX,2,2099,764,1538
ACBG08,1,3738,922,3181
ASBR04,3,833,286,699
ACBG14K,2,823,239,810
ATBR12EC,1,0,0,67
ASDHENA,2,2934,982,2238
ASDGSSB,3,398,174,407
ATBR18D,2,2204,830,1202
ACBG05B,2,0,372,0
ATBR06D,1,322,19,120
ASBH22,3,1236,1424,464
ASRIBM,1,77,9,14
ATBR15,2,1903,366,905
ACBG14A,2,385,0,56
ACBG21E,1,3930,1162,3187
ASDHEDUP,2,630,253,462
ASDHOCCP,2,2215,510,1233
ATBG07BG,2,1374,812,1144
ASBH03A,2,26,29,166
ATBG07BA,1,3524,894,2544
ATBR17C,2,447,158,802
ASDGERL,3,331,149,334
ATBR06B,3,1898,814,1930
ATBR17B,1,2040,466,1321
ATDGEAS,2,2077,691,1628
ATBR09G,2,1048,494,919
ATBR10I,3,945,327,396
ATBG06,2,1985,669,1156
ASBG03,1,2514,765,1446
ATBG05BF,3,1335,185,731
ACBG21C,2,3534,651,378
ATBG07BE,1,1695,693,1142
ATBG08E,1,1334,406,672
ASBH20A,2,1644,1411,822
ATBR12EB,2,489,266,376
ATBR12EE,3,634,156,815
ASBR03A,2,1510,524,1135
ASBG05F,2,1791,914,1050
ATBR07AD,2,889,121,229
ASRIBM,5,325,251,719
ATDGTJS,1,2071,481,1179
ATDGSOS,1,3039,403,2017
ATBR07BC,3,1658,589,1507
ATBR09F,1,1239,348,566
ASDHEDUP,6,1,2,9
ATBR08C,1,2596,285,1251
ASBH02B,1,3887,1441,3108
ACBG14G,2,1415,524,1538
ATBR08F,3,411,179,324
ATBR10E,2,1793,511,1703
ACBG14N,3,536,336,699
ATBR08A,2,1298,528,1320
ASBH21B,1,1951,19,2054
ATBR08B,1,3298,624,1680
ASBH04,3,103,83,211
ASBG05G,1,2836,637,1912
ASBH18AB,2,45,34,207
ASBG10F,2,302,95,307
ACBG18B,1,2276,1186,1754
ATBR07AC,3,898,559,1010
ASBR04,2,1052,327,1152
ACBG14K,1,937,171,728
ATBR10D,4,28,0,18
ASDGSCR,3,1405,369,888
ASDHENA,1,1046,397,907
ATBR18D,1,1648,399,1917
ATBR10C,4,29,16,0
ASBH22,2,2387,20,1656
ATBR09D,2,1978,598,1488
ATBR13C,4,1628,329,522
ATBR13B,3,1594,314,1162
ACBG14H,2,346,391,874
ASDHSES,3,878,190,462
ASDHEDUP,1,1657,806,1318
ASDHOCCP,1,1562,729,1572
ATBR07BA,2,1385,344,512
ATBR07BB,2,653,280,246
ATBG07BG,1,2735,599,2065
ATBR18C,2,1397,924,1446
ACBG14J,5,570,91,795
ASBH16,2,74,25,32
ATBG09C,3,908,710,2374
ATBR17C,1,3419,1013,2258
ATBG08B,2,1973,799,2223
ATDGEAS,1,342,0,106
ATBR09G,1,1095,268,403
ATBG05BJ,3,226,98,59
ATBR10I,2,1920,781,1664
ACBG14M,3,592,240,580
ATBG06,1,1224,613,815
ATBG07AF,1,3594,616,2163
ATBG05BF,2,2440,1089,1826
ATBR12EE,2,156,43,153
ASBH14C,1,4063,1436,3184
ATBR12EC,4,2743,1022,2078
ATBR13E,2,1800,501,2041
ACBG13,4,952,677,1465
ATBR07AD,1,686,54,0
ATBG05BB,3,2100,310,1425
ATBR08D,2,1794,569,1511
ATBR18A,1,3372,1007,2471
ATBG09A,1,1556,343,708
ATBR07AB,1,258,61,26
ATBR07BC,2,1229,504,869
ATBG05AB,2,2849,1399,2379
ATBR11E,2,748,167,433
ATBR10E,1,981,195,516
ASBH16,6,1671,524,841
ACBG14N,2,518,113,349
ATBR08A,1,2626,503,1741
ATBR11B,2,1245,699,1234
ATBR10G,2,1822,666,1679
ASBG05H,2,2835,1017,1962
ATBR09H,4,103,22,540
ASBH04,2,597,384,650
ASBG08B,3,1036,153,734
ASBG10F,1,3640,1306,2750
ATBG05BK,2,3074,1048,1031
ACBG07A,1,4061,1445,0
ATBG07AC,2,1688,489,1425
ATBR07AC,2,206,0,23
ATBG08D,2,1761,686,1918
ATBR12BD,1,409,0,641
ATBG07AE,1,2284,774,982
ASBG03,4,12,4,136
ATBR10D,3,448,451,659
ATBR09I,4,167,145,154
ACBG14E,4,0,29,0
ASDGSCR,2,1804,586,1259
ASBH18DB,2,4101,1431,3058
ASBG07B,1,445,99,643
ACDGRRS,3,1682,206,959
ATBG07BB,3,85,53,31
ASBG06,3,138,22,42
ATBR09C,1,1648,409,1004
ATBR09D,1,1570,448,998
ATBR13C,3,1368,369,895
ATBR10H,3,1287,599,826
ATBR13B,2,676,209,651
ACBG14H,1,1340,174,348
ASDHSES,2,2198,698,1520
ATBR19,1,579,179,1106
ATBR07BA,1,1022,340,810
ACDGSBC,2,1386,1030,900
ACBG17,2,1204,24,952
ATBR07BB,1,132,0,11
ACBG20,2,0,95,22
ATBR18C,1,2684,439,1643
ATBR18E,2,2253,553,2028
ASBH02B,4,62,0,15
ACBG14J,4,1353,593,1047
ACDGEAS,3,1531,304,1203
ASBH16,1,8,0,6
ASBH18FA,2,0,1437,0
ATBG08B,1,2051,605,957
ATBG09D,3,681,333,1170
ATBG07BC,2,1705,663,890
ATBG05BJ,2,1816,660,533
ATBR06A,3,916,238,281
ACBG14M,2,157,108,84
ATBR10L,3,1364,572,1077
ASBH14B,2,135,107,18
ACBG21A,1,1026,1041,2785
ATBR10J,4,486,98,287
ATBR07BD,4,1066,200,1265
ACBG05A,2,2081,1012,1657
ASDHPCS,1,3100,756,2189
ATBG05BA,3,3359,495,2589
ATDGSLI,1,1482,273,1783
ACDGDAS,3,296,0,0
ASDHELA,1,374,236,533
ATBR08H,1,816,105,233
ACBG21D,2,23,283,22
ATBR11C,3,488,580,969
ATBG07BF,3,0,66,0
ASDGSEC,3,1096,438,660
ACBG13,3,930,313,1070
ASBG05A,2,485,427,1018
ATBR06E,4,168,169,318
ASDHPLR,3,888,315,753
ATBR08D,1,2185,511,1621
ATBR10K,2,578,345,515
ATBR12C,1,873,155,308
ACBG14H,5,0,0,116
ATBR07BC,1,267,206,98
ASBH18EB,1,4,116,11
ATBR10B,1,1802,396,1279
ATBR19,5,2671,738,919
ASBH18CA,1,554,29,699
ASBH03B,2,4096,607,2452
ATBR11E,1,104,19,123
ACBG14N,1,279,0,73
ATBR11B,1,2262,498,1419
ATBR10G,1,1674,374,1084
ATBR09H,3,1324,677,1920
ASDGHRL,3,138,40,89
ATBG05BK,1,693,273,2176
ATBR10F,4,256,47,21
ATBG07AC,1,2421,956,1784
ASBG07A,2,540,177,439
ATBG08D,1,2306,759,1133
ATBG05BC,1,17,18,101
ATBR09I,3,1742,884,1788
ACDGRRS,2,2427,1109,2200
ATBR14,3,1010,159,709
ATBG07BB,2,1927,576,1858
ATBG03,1,213,0,47
ASBG06,2,50,16,13
ATBR09A,1,1123,268,162
ASBH18DA,1,0,8,153
ATBG09B,3,2874,1009,2629
ATBR10H,2,1448,476,1674
ATBR13B,1,168,131,340
ASBG05J,2,2540,0,2203
ATBR16,2,2398,706,1752
ACDGSBC,1,1600,345,982
ACBG17,1,31,0,0
ACBG20,1,4087,1198,3187
ATBR18E,1,1618,65,515
ACBG14J,3,943,542,1026
ATBR07AA,3,847,489,1357
ATBG08A,3,16,0,0
ATBG07BC,1,2265,775,2294
ATBR13D,1,3602,971,1251
ASDGDRL,3,300,162,326
ATBR06A,2,1725,475,1783
ATBR10L,2,384,257,432
ASBH14B,1,3974,1338,3191
ATBR10J,3,1114,375,1102
ATBR11D,1,59,27,16
ATBR07BD,3,2030,686,1248
ACBG05A,1,1759,266,1171
ATBG05AD,1,1137,328,1385
ATBG05BA,2,687,936,484
ACBG07C,2,62,20,89
ATBG05BD,3,2384,907,826
ACBG18A,2,525,543,411
ASBR03B,4,260,119,380
ATBR09E,3,640,423,812
ASBR05,2,1308,477,1220
ATBG07BF,2,777,675,770
ACBG21D,1,4086,1162,3187
ATBR11C,2,2044,610,1725
ATBR11A,4,132,30,212
ASDGSEC,2,2140,733,1654
ACBG04,4,3,7,0
ASBG05A,1,3624,1018,2191
ATBG03,5,409,472,270
ASDHPLR,2,2534,893,2038
ATBR08G,2,1837,726,1724
ATBR09C,4,18,35,26
ATBR10K,1,101,50,116
ACBG14L,3,447,492,918
ATBR19,4,0,71,270
ACBG18C,2,3716,1197,3154
ASDHAPS,2,550,95,249
ASBH09,3,775,272,697
ACBG07B,2,3675,1399,3016
ATBR12DC,3,2968,943,1971
ASBH18BB,2,4091,640,2617
ATBR12DB,2,858,386,1016
ACBG05A,5,101,35,83
ASBG07A,1,612,151,394
ASBH03F,1,0,17,0
ASBH21C,2,2276,1434,1468
ACBG14F,4,0,0,19
ATBR06C,4,334,151,271
ATBG07AA,1,3833,1168,2657
ATBR14,2,1068,348,890
ASBH14A,1,4026,1367,3182
ATBR12A,2,2106,676,1597
ATBG08C,3,0,43,48
ASBH07F,4,39,7,5
ASDG05S,1,232,157,146
ATBR10H,1,830,164,616
ATBR16,1,696,522,1096
ATBG07AB,1,2139,992,1330
ATBR12C,4,2411,830,1679
ATBR12EA,2,372,63,287
ASBH06,3,419,776,225
ATBR07AA,2,1501,807,1552
ATBR17A,2,955,447,1093
ATBR08E,4,0,87,26
ASDGDRL,2,3356,1073,2485
ATBR06A,1,1439,732,1145
ACBG14D,2,222,245,33
ATBR09B,3,1700,858,1930
ASDGSLR,2,1976,680,1547
ATBG05BD,2,1637,505,2229
ATBR10A,3,247,157,129
ATBR09E,2,1565,503,1330
ASBR05,1,2060,700,1247
ATBG07BF,1,3332,704,2439
ATBG05BI,1,530,298,719
ASBH18FB,2,0,1421,0
ATBR11A,3,1438,592,1249
ACBG04,3,236,191,50
ATBG03,4,966,667,1370
ACBG19,1,1511,1148,118
ATBR09A,4,67,0,89
ASDHPLR,1,687,237,418
ATBR08G,1,1214,278,525
ACBG14I,2,340,305,510
ACBG14L,2,1059,137,312
ASBH18AA,1,4095,1415,3069
ASDHAPS,1,210,24,175
ATBG05BG,3,476,151,469
ASBH09,2,1966,685,1569
ASBG08A,1,618,456,340
ITSEX,1,2010,681,1671
ASBH03E,2,4103,1199,3198
ATBR11D,4,402,326,448
ACBG21B,2,137,323,22
ATBR12DB,1,419,40,313
ASDGSSB,2,1717,677,1408
ASBR03C,4,851,413,1063
ACBG05B,1,3927,538,1864
ATBR06C,3,1428,731,1789
ATBR15,1,201,235,129
ASBH18CB,2,3737,1412,2697
ACBG14A,1,3724,0,3149
ASDHELT,3,970,260,299
ASDHELN,3,115,50,54
ATBG08C,2,726,686,1388
ATBR12ED,4,2874,1197,2255
ASBH03A,1,4083,1416,3043
ASBH07F,3,267,125,79
ACBG19,5,1912,0,1898
ATBG05BH,3,465,47,321
ASDGERL,2,1869,664,1632
ATBR06B,2,391,25,120
ATBR12BC,2,2163,780,1840
ATBR12EA,1,452,46,317
ASBH06,2,3138,521,2671
ATBR17A,1,2850,695,1820
ACBG21C,1,575,794,2831
ATBR09B,2,1369,201,743
ATBR12EB,1,19,25,161
ASBH20A,1,2465,34,2387
ACBG14K,5,211,64,180
ASDGSLR,1,1326,409,986
ASBR03A,1,1607,407,1027
ASBG05F,1,2318,531,2159
ACBG05B,5,0,2,0
ATBR06D,4,68,377,234
ATBR10A,2,973,451,962
ASRIBM,4,1748,705,1737
ATBR15,5,279,31,242
ACBG14A,5,0,0,4
ASBH18FB,1,0,24,0
ASDHEDUP,5,204,5,100
ASDHOCCP,5,82,16,137
ACBG04,2,0,280,65
ACBG14G,1,559,249,335
ATBR08F,2,1105,527,1746
ACBG14I,1,1118,263,465
ACBG14L,1,194,93,95
ATBR12DA,3,2756,1021,1927
ATBR12BB,2,2875,825,2642
ASBH18AB,1,4064,1411,3002
ASBR04,1,1545,619,1032
ASBH03E,1,6,246,11
ACBG21B,1,3972,1122,3187
ASDGSSB,1,1994,594,1394
ASBR03C,3,1198,390,1066
ATBR10C,3,266,265,281
ASBH22,1,486,1,1089
ASBG05K,2,2946,0,2110
ASBH20B,2,1245,1418,455
ASBH18CB,1,372,33,512
ASDHELN,2,3349,1089,2438
ASDHELT,2,2251,711,1371
ATBR09F,4,142,86,176
ATBR08C,4,20,45,105
ATBR12ED,3,1000,226,707
ASBH07F,2,1613,630,691
ACBG14G,5,29,0,4
ATBG09C,2,2478,530,827
ASDGERL,1,1909,632,1243
ACBG14I,5,406,27,270
ATBR06B,1,185,0,38
ATBR10I,1,1122,298,1137
ATBR08B,4,31,112,0
ASBH03D,2,4101,1418,3051
ATBG05BF,1,334,171,652
ACBG14K,4,1384,552,495
ATBR12EE,1,0,49,86
ASBH19,2,866,1395,295
ATBR12EC,3,1165,258,822
ATBR13E,1,2309,944,1168
ACBG05B,4,1,65,0
ATBG05BB,2,1757,1100,1362
ASRIBM,3,1519,390,628
ATBR15,4,386,33,247
ATBR18B,3,0,28,0
ASDHEDUP,4,481,38,343
ASDHOCCP,4,117,156,171
ASBH18BA,2,4095,580,2544
ATBG05AB,1,1260,46,830
ATBR08F,1,2593,717,1090
ATBG07BA,3,0,20,0
ASBH16,5,1659,864,2172
ATBR17B,3,261,370,175
ASBG05H,1,1274,428,1247
ATBR09G,4,222,68,312
ASBH04,1,3401,968,2291
ASBG08B,2,2037,414,1684
ASBH20C,2,2081,1409,947
ATBR07AC,1,15,0,0
ATBG06,4,57,0,57
ASBG03,3,938,419,1045
ATBR10D,2,2002,652,1749
ATBG07BE,3,353,81,247
ATBG08E,3,115,147,153
ATBR12EB,4,2667,940,2092
ACBG14E,3,0,142,103
ATBR12BA,2,2974,1296,2295
ASBR03A,4,285,235,367
ASDGSCR,1,900,490,1062
ASBH18DB,1,8,14,151
ASBR03C,2,1287,415,718
ATBR10C,2,1136,607,1610
ATBR07AD,4,585,338,651
ASBH20B,1,2864,27,2754
ATBR13C,2,642,457,1036
ASBH03C,2,3597,1388,2388
ATDGTJS,3,874,397,563
ATBR07AB,4,1058,427,1457
ASDHSES,1,1033,557,1227
ATBR09F,3,1424,595,1499
ATBR08C,3,254,403,610
ASBH02B,3,64,0,33
ACBG14G,4,349,71,107
ACDGEAS,2,2119,917,1855
ATBG09C,1,723,205,8
ASBH21D,2,1904,1437,1125
ASBH18FA,1,0,8,0
ATBR10E,4,144,39,136
ACBG14N,5,1222,527,524
ATBG09D,2,1495,579,1607
ATBR08A,4,0,171,22
ATBG05BJ,1,2067,687,2617
ATBR08B,3,19,166,152
ACBG14M,1,279,0,25
ASBH03D,1,8,27,158
ASBG10F,4,60,19,47
ATBG05AC,2,1890,1114,451
ACBG21F,2,697,498,75
ACDGDAS,2,371,279,175
ATBR12EC,2,201,165,242
ASBG07B,4,1329,624,539
ATBR18D,3,257,216,90
ACBG13,2,585,359,470
ATBR06E,3,1586,624,1847
ATBG05BB,1,252,35,422
ATBR09D,4,47,0,28
ASRIBM,2,440,90,111
ACBG14H,4,587,113,610
ASBG05B,2,820,289,852
ATBR18B,2,195,333,486
ATBR07BA,4,389,179,713
ATBR07BB,4,1658,504,1821
ASBH18BA,1,14,865,665
ASBH03B,1,13,838,757
ATBG07BG,3,0,34,0
ATBG07BA,2,585,531,665
ASBH16,4,644,0,78
ATBG02,2,340,222,411
ATBR17C,3,243,274,149
ATDGEAS,3,1690,754,1475
ATBR09H,2,1401,396,522
ASBG08B,1,1036,878,791
ACBG14M,5,1362,562,1110
ASBG05E,2,1198,787,2033
ASDGHRL,2,3345,1086,2272
ATBR10F,3,598,505,656
ASBH20C,1,2028,36,2262
ASBG03,2,645,257,582
ATBG07AD,2,1351,698,1361
ATBR10D,1,1631,342,783
ATBG07BE,2,2061,671,1820
ACBG14E,2,1700,626,988
ATBR09I,2,1444,287,902
ATBR12BA,1,1135,149,914
ACDGRRS,1,0,130,50
ATBG07BB,1,2097,816,1320
ATBR08H,4,991,443,526
ASBG06,1,97,52,33
ATBR07AD,3,1949,932,2329
ATBG07BD,3,280,142,138
ATBG09B,2,1064,436,557
ATBR13C,1,471,290,756
ATBR18A,3,0,0,23
ATBR08D,4,0,107,0
ASBG05J,1,1569,0,1006
ATBG09A,3,431,213,622
ATDGTJS,2,1164,567,1467
ATBR07AB,3,1717,702,1444
ATBR07BC,4,955,146,735
ASBH02B,2,96,4,53
ACBG14J,2,798,197,227
ACDGEAS,1,459,224,151
ATBR11E,4,824,477,883
